,lon,lat,geometry
0,78.35777623376022,18.170405896350342,POINT (78.35777623376022 18.17040589635034)
1,78.3118630383726,18.137818917749055,POINT (78.31186303837261 18.13781891774905)
2,78.16654003394889,18.087968611551574,POINT (78.16654003394889 18.08796861155157)
3,78.2979741583726,18.08920783774904,POINT (78.2979741583726 18.08920783774904)
4,78.18686311837263,18.110041157749045,POINT (78.18686311837263 18.11004115774904)
5,77.97852991837269,18.075318957749037,POINT (77.97852991837269 18.07531895774904)
6,78.24936307837262,18.06837451774904,POINT (78.24936307837262 18.06837451774904)
7,78.20769643837264,18.061430077749037,POINT (78.20769643837264 18.06143007774904)
8,78.06186319837266,18.033652317749027,POINT (78.06186319837266 18.03365231774903)
9,78.14519647837264,18.033652317749027,POINT (78.14519647837264 18.03365231774903)
10,78.50630735837255,18.012818997749026,POINT (78.50630735837255 18.01281899774903)
11,78.3326963583726,17.964207917749015,POINT (78.3326963583726 17.96420791774901)
12,78.2979741583726,17.95726347774901,POINT (78.2979741583726 17.95726347774901)
13,77.90214107837272,17.95031903774901,POINT (77.90214107837272 17.95031903774901)
14,77.99241879837268,17.922541277749005,POINT (77.99241879837268 17.922541277749)
15,78.33964079837259,17.929485717749003,POINT (78.33964079837259 17.929485717749)
16,77.92297166979303,17.936433049824956,POINT (77.92297166979303 17.93643304982496)
17,77.99241879837268,17.894763517749,POINT (77.99241879837268 17.894763517749)
18,78.2701963983726,17.887819077748997,POINT (78.2701963983726 17.887819077749)
19,78.54102955837254,17.85309687774899,POINT (78.54102955837254 17.85309687774899)
20,78.3049185983726,17.846152437748984,POINT (78.30491859837259 17.84615243774898)
21,78.11741871837265,17.839207997748982,POINT (78.11741871837265 17.83920799774898)
22,78.24936307837262,17.797541357748976,POINT (78.24936307837262 17.79754135774898)
23,78.18686311837263,17.804485797748974,POINT (78.18686311837263 17.80448579774897)
24,78.45769627837257,17.755874717748963,POINT (78.45769627837257 17.75587471774896)
25,78.44613653265131,17.71642893711399,POINT (78.44613653265131 17.71642893711399)
